cycle_id,datetime,capacity_Ah,soc_cycle,t_to_2.7V,t_to_Tmax,T_max,thermal_integral,Vmeas_minus_Vload_mean,Imeas_minus_Iload_mean,voltage_mean,current_mean,temp_mean,duration_s,soc_zero_duration,soc_mean_rate,soc_max_rate,soc_drop_q1,soc_drop_q2,soc_drop_q3,soc_drop_q4,soc_whole_mean,soc_whole_max,soc_whole_rate_mean,soc_whole_rate_min,soc_cyclecap_mean,soc_cyclecap_rate_mean,soc_cyclecap_rate_min
2,2008-04-02 15:25:41,1.8564874208181574,1.0,3346.937,3366.781,-38.98218133148803,5393.925312488231,1.124884506432791,-0.013132421020764345,3.5298286688693397,1.8187019641679727,-32.572328114029,3690.234,3346.937,0.00027132112004386497,0.0003015814381054395,-0.2635280309062673,-0.2724060586426428,-0.27940308741133346,-0.18466282303975645,0.4642739596089017,1.0,-0.00027132112004386497,-0.0003015814381054395,0.4642739596089017,-0.00027132112004386497,-0.0003015814381054395
4,2008-04-02 19:43:48,1.846327249719927,0.9945272071416714,3328.828,3348.735,-39.033397966787035,5294.616345822728,1.138059923704338,-0.01297719760006219,3.5373201277859714,1.8175598506612867,-32.72523522519307,3672.344,3328.828,0.0002726402315516557,0.0003031521457170609,-0.26501894204338505,-0.27406985732030287,-0.2811034199740745,-0.17980778066223757,0.46150527437124533,0.9945272071416714,-0.0002711481280395268,-0.0003014930568189973,0.46404489596381987,-0.0002726402315516557,-0.0003031521457170609
6,2008-04-03 00:01:06,1.8353491942234077,0.9886138595081705,3309.422,3329.281,-38.818796689817404,5194.724432199538,1.145767497502669,-0.012911157268711075,3.5437367282719,1.8164865418840956,-32.64286193755933,3651.641,3309.422,0.0002741107106491457,0.0003051259708865932,-0.2610532473996052,-0.27571469451837116,-0.28233769032709266,-0.18089436775493095,0.45845428462554993,0.9886138595081705,-0.0002709896475873792,-0.000301651763714373,0.46373442999638737,-0.0002741107106491457,-0.0003051259708865932
8,2008-04-03 04:16:37,1.8352625275821128,0.9885671763794173,3309.719,3329.5,-38.7623045063458,5177.473241155571,1.1353774474663312,-0.012726307271314545,3.5436661072601456,1.8255891938692528,-32.51487646204882,3631.563,3309.719,0.0002755011787863084,0.0003050687086010133,-0.2609016103916453,-0.2757827574718389,-0.276686458483694,-0.18662917365282183,0.46083165743102267,0.9885677626758843,-0.000272351422401982,-0.0003015809118634208,0.466161196165543,-0.0002755011787863084,-0.0003050687086010133
10,2008-04-03 08:33:25,1.8346455082120419,0.9882348178817771,3307.688,3327.531,-38.66539257343368,5193.274842759348,1.1338380980280418,-0.013237670367964676,3.5423432526672167,1.8261139590277586,-32.38234901543077,3629.172,3307.688,0.0002756637145157255,0.00030511947067502626,-0.2611245934733514,-0.2755219116046693,-0.2768121072137405,-0.1865413877082388,0.46060779154408066,0.9882390742207602,-0.0002724204807110622,-0.00030152968453471887,0.4660914422458482,-0.0002756637145157255,-0.00030511947067502626
12,2008-04-03 12:55:10,1.8356616600675495,0.9887821697485943,3309.25,3329.047,-38.75169504640032,5270.829922708209,1.1450834525834754,-0.01315446406047014,3.5413347346347575,1.8168108743168803,-32.43418218230641,3652.281,3309.25,0.00027411634383811936,0.00030506695688891673,-0.2609355635462125,-0.2755288153651251,-0.2826408835728713,-0.1808947375157911,0.4586493625303853,0.9887821697485943,-0.0002710413532238075,-0.0003016447675512207,0.46385278432660293,-0.00027411634383811936,-0.00030506695688891673
14,2008-04-03 17:17:16,1.8351461429226603,0.9885044855913476,3308.422,3328.156,-38.8207012322275,5277.439613796937,1.1463788956613672,-0.013170631886620212,3.5410250495075215,1.816791144707133,-32.480416444757985,3650.828,3308.422,0.0002741848039869986,0.00030508783276726736,-0.26086908090755223,-0.2755682749808689,-0.2826646814264938,-0.18089796268508507,0.45857089674112733,0.9885044855913476,-0.00027103290862213244,-0.00030158069118978517,0.46390370850649093,-0.0002741848039869986,-0.00030508783276726736
16,2008-04-03 21:28:14,1.8257567905665537,0.9834468955151549,3291.484,3311.328,-38.51713023385634,5049.569482402065,1.1195050245502756,-0.013457442441898334,3.554133296801584,1.8443412120754061,-32.41046186109587,3572.453,3291.484,0.0002797793275369157,0.00030669976760811304,-0.2569318357601984,-0.2716703084937918,-0.27779324253314086,-0.19360461321286893,0.46294793450732225,0.9834468955151549,-0.00027514811109549724,-0.00030162293430942115,0.4707401453179819,-0.0002797793275369157,-0.00030669976760811304
18,2008-04-04 01:38:15,1.8247738529891333,0.9829174345738104,3289.891,3309.625,-38.526267904657,5047.459050977663,1.1044250728310054,-0.013467482347753471,3.5529355991467955,1.853972745505648,-32.3461408313,3550.594,3289.891,0.0002813868040265812,0.0003069385707344524,-0.257066430177316,-0.2711912484927149,-0.27219593535038344,-0.19954638597958563,0.4652389252336472,0.9829309578434525,-0.00027657999553673074,-0.00030169527251805786,0.4733245223545894,-0.0002813868040265812,-0.0003069385707344524
20,2008-04-04 05:48:08,1.824613268496936,0.982830935473199,3290.188,3310.016,-38.52698128472781,5068.2549194610765,1.1015531003587524,-0.013094144377411536,3.5512057319376997,1.8535899338510957,-32.27679750791685,3551.25,3290.188,0.00028135538515494077,0.0003066933439278656,-0.2569468732386275,-0.2714730541637763,-0.27209576310654093,-0.19948430949105522,0.4651650445858485,0.982830935473199,-0.0002765247763922524,-0.0003014277061160302,0.47329100844987915,-0.00028135538515494077,-0.0003066933439278656
22,2008-04-04 09:57:19,1.8246195526864504,0.9828343204622076,3290.234,3310.016,-38.54143406601644,5081.308851631771,1.0890700975187273,-0.013117744432394234,3.549292319740949,1.863380178294828,-32.15709350345252,3530.25,3290.234,0.00028283753749175735,0.00030677400494252827,-0.25685354938553995,-0.26591925638960545,-0.2721123380082966,-0.205114856216558,0.46757057484763925,0.9828343204622076,-0.0002779824389619154,-0.0003015080206831555,0.47573692240188564,-0.00028283753749175735,-0.00030677400494252827
25,2008-04-04 17:56:27,1.8142019357673917,0.9772228539894279,3271.016,3290.844,-38.52197451768004,4943.536503340171,1.083957081611543,-0.013623355742439596,3.559759220648976,1.872968810287894,-32.36407129853099,3491.016,3271.016,0.00028592590366816354,0.00030866614217561067,-0.2529025478094986,-0.2671453112896278,-0.27362956357477375,-0.20632257732609982,0.4672016166718302,0.9772233461139387,-0.00027941332761210905,-0.0003016356083867522,0.4780911690353127,-0.00028592590366816354,-0.00030866614217561067
27,2008-04-04 22:01:54,1.8137521577549054,0.9769805803238794,3270.813,3290.578,-38.582485834057856,4920.718843582662,1.0648023992467246,-0.013284773133287901,3.558081969139198,1.8826095043160833,-32.3181954403762,3470.281,3270.813,0.00028747459489084017,0.00030863589893780075,-0.2528139683885575,-0.26743675927255217,-0.2675343482731568,-0.2122149240657335,0.4695479601557551,0.9769805803238794,-0.000280857096544825,-0.0003015312796530306,0.4806113546290705,-0.00028747459489084017,-0.00030863589893780075
29,2008-04-05 02:20:26,1.8134404914735822,0.9768127007692816,3270.312,3290.141,-38.520294134873915,4996.274227054786,1.06263310438755,-0.013212056453569434,3.555692244172496,1.882536787636365,-32.15709029211502,3470.0,3270.312,0.0002875146638334334,0.0003085432250151841,-0.2527462947601822,-0.2673873213050443,-0.26757602437021666,-0.21229035956455689,0.4695370113649629,0.9768127007692816,-0.00028084797528990827,-0.00030138894093114516,0.4806827460322562,-0.0002875146638334334,-0.0003085432250151841
31,2008-04-05 06:25:01,1.8025980036306504,0.9709723768751647,3251.063,3270.859,-38.21358592965045,4876.619117823309,1.0692387099093945,-0.013167569580075589,3.562746818017503,1.8817935155260215,-32.04407000314609,3450.297,3251.063,0.0002891112439631906,0.00031070113997143725,-0.2542098476647803,-0.26309981596379495,-0.2693241746389331,-0.21336616173249168,0.4665545054307052,0.9709756727149165,-0.0002807190317322747,-0.0003016822243758887,0.48050234645417617,-0.0002891112439631906,-0.00031070113997143725
33,2008-04-05 10:30:32,1.80210690024615,0.9707078432300706,3249.985,3269.766,-38.1983618706913,4875.6597541041665,1.0580717408663114,-0.013405693721062725,3.5614521756489204,1.8921861285036712,-31.931593674911532,3429.407,3249.985,0.00029079742475476166,0.000310604549602125,-0.2544864973993892,-0.26298864457642424,-0.2690556721887378,-0.21346918583544872,0.4689021728424171,0.9707096854071856,-0.0002822793410005534,-0.00030150627244172716,0.48305180195322783,-0.00029079742475476166,-0.000310604549602125
35,2008-04-05 14:34:41,1.802579500826209,0.9709624103091467,3250.438,3270.266,-38.31926916027133,4855.208636827362,1.0465715556953028,-0.013719204856746487,3.5603420474985823,1.9027629207037406,-31.941655359029298,3409.484,3250.438,0.00029233566171791447,0.00031057679573459856,-0.24879515448012912,-0.2630942475125463,-0.26878551637360903,-0.21932508163371556,0.47151699970701855,0.9709646683869975,-0.0002838469387209456,-0.00030155839417255565,0.4856181811990964,-0.00029233566171791447,-0.00031057679573459856
37,2008-04-05 18:39:25,1.8030683142834096,0.9712257104811376,3251.094,3270.812,-38.4787542519308,4833.369485742701,1.0302452777665596,-0.013927280362463376,3.5591189041401865,1.9133470605822436,-31.965008645476725,3390.422,3251.094,0.0002938823425233539,0.00031061266557427195,-0.24874754599572702,-0.26318881964576357,-0.2629954846505699,-0.22506814970793954,0.4742303519330828,0.9712257104811376,-0.00028542608691510535,-0.0003016750068068107,0.4882802697821425,-0.0002938823425233539,-0.00031061266557427195
39,2008-04-05 22:46:35,1.8027776247196041,0.9710691300699019,3250.766,3270.594,-38.54659017774874,4865.24236143709,1.0285625960223324,-0.01374372703167037,3.557886771846508,1.9131602105481538,-31.966241678512723,3390.281,3250.766,0.00029391746324827176,0.00031062803889284236,-0.2486608483598749,-0.26302092249004927,-0.26307898647831096,-0.22523924267176487,0.47426167256573115,0.9710691300699019,-0.0002854141753488513,-0.0003016412995029919,0.48839125648200926,-0.00029391746324827176,-0.00031062803889284236
42,2008-04-18 21:10:19,1.8470259949329193,0.9949035873989017,3330.046,3349.875,-38.44749852224995,5086.128523620551,1.1037146068845247,-0.013144532890930741,3.5520375235511907,1.8553455745575975,-32.37143341978575,3591.734,3330.046,0.0002782267500542216,0.00030310398400067596,-0.25937610652752074,-0.2682990055614004,-0.27497848740135555,-0.1973464005097233,0.47132590201849744,0.9949035873989017,-0.00027680879173928283,-0.0003015592410371697,0.47374027794064183,-0.0002782267500542216,-0.00030310398400067596
46,2008-04-19 02:29:09,1.847417311283644,0.995114370594272,3331.172,3350.938,-38.992275791716615,5118.155674778641,1.0784984226370813,-0.013173211525623726,3.5525668436897124,1.8746995273150975,-32.70024990461686,3552.297,3331.172,0.00028106263651160146,0.00030299439427325034,-0.25370876797837294,-0.26819480949719343,-0.26893123035943567,-0.20916519216499796,0.47650237014648533,0.9951179555690274,-0.00027968946862980896,-0.0003015140759508213,0.47884181379264285,-0.00028106263651160146,-0.00030299439427325034
50,2008-04-19 07:47:15,1.8361774213478947,0.9890599854098058,3311.344,3331.203,-38.51424197364312,5054.652573640013,1.076757001290002,-0.013027212788384831,3.556794038327039,1.873827212788385,-32.32266411829938,3531.578,3311.344,0.00028264399756229894,0.00030481172081189313,-0.2554263437065334,-0.2642186818567477,-0.27044561415834945,-0.20990936027836948,0.47320679106088887,0.9890599854098058,-0.0002795518681051365,-0.0003014770761389533,0.47844094194632797,-0.00028264399756229894,-0.00030481172081189313
54,2008-04-19 13:01:42,1.8257807475776242,0.9834597999985366,3292.532,3312.547,-38.165816144899125,5014.352909179701,1.0689608065924576,-0.013181782048800671,3.5614100044534203,1.883193546754683,-31.98795810666763,3492.907,3292.532,0.00028567307386595243,0.0003065339378476384,-0.25114823537354514,-0.26564791943209587,-0.27181835924985576,-0.21138548594450324,0.47307007578176014,0.9834653770161206,-0.0002809479840891767,-0.00030146380520840524,0.4810263477800151,-0.00028567307386595243,-0.0003065339378476384
58,2008-04-19 18:27:29,1.8251136435078368,0.9831004632950897,3291.172,3310.969,-38.16526203587147,5098.328580617259,1.0773501564839267,-0.013175355035269943,3.5566107947817986,1.873239184822504,-31.894456524691385,3511.594,3291.172,0.00028426532533414636,0.0003066969185705863,-0.256867980788553,-0.2656563100723952,-0.2720260472858478,-0.205449661853204,0.47030174070832437,0.9831090577451903,-0.0002794613730347286,-0.00030151388273792074,0.478386246642585,-0.00028426532533414636,-0.0003066969185705863
62,2008-04-19 23:41:55,1.8255815042203762,0.9833524772367372,3292.1870000000054,3311.9060000000027,-38.27549578575718,4950.4722503860585,1.0294622605048882,-0.013470244715807045,3.5586742170266272,1.9139593751505897,-31.78039681801023,3431.9370000000054,3292.1870000000054,0.00029036486123169337,0.0003066124967466685,-0.2512249459010423,-0.25975499539856295,-0.265935782386053,-0.2230842763143418,0.48069439414282317,0.9833538395831846,-0.00028553100559468704,-0.00030150815822757495,0.4888322399853967,-0.00029036486123169337,-0.0003066124967466685
66,2008-04-20 04:54:41,1.8140311275083907,0.9771308478400268,3271.344,3291.157,-37.982160799183106,4938.3637044311645,1.0474401392086434,-0.013416315709360256,3.564103182686905,1.9030532722310995,-31.688747146342205,3431.125,3271.344,0.0002905499133984777,0.0003085875114077971,-0.2524807241582252,-0.2616092953476602,-0.26749021031335196,-0.21841977018076264,0.47499091129814064,0.9771330531087512,-0.0002839052832189007,-0.00030153037665474336,0.4861077841807169,-0.0002905499133984777,-0.0003085875114077971
70,2008-04-20 10:16:28,1.8147691941158939,0.9775284086310274,3272.672,3292.609,-38.11100191887773,4950.812995139812,1.0299869706980973,-0.013504975864136038,3.559588063594272,1.9134590742247914,-31.596747992569153,3412.406,3272.672,0.000292017747404172,0.00030924391409509373,-0.24700019590966293,-0.2615113869926975,-0.26728012678719304,-0.22420829031044653,0.4776749457329333,0.9775284086310274,-0.00028545564391201783,-0.0003022947112242009,0.4886558196317689,-0.000292017747404172,-0.00030924391409509373
